set,clock,dbm,RSSI,attack
101,1517.4,17,36,0
101,1520.84,20,34,0
101,1522.44,22,36,0
101,1524.06,23,34,0
101,1527.9,24,34,0
102,1529.39,14,40,0
102,1532.74,17,38,0
102,1533.82,20,33,0
102,1536.34,22,37,0
102,1538.8,23,35,0
102,1539.94,24,34,0
103,1543.27,14,40,0
103,1544.66,17,37,0
103,1547.27,20,34,0
103,1548.63,22,34,0
103,1552.12,23,35,0
103,1555.76,24,34,0
104,1557.41,14,40,0
104,1561.14,17,37,0
104,1562.45,20,34,0
104,1565.1,22,35,0
104,1567.69,23,34,0
104,1570.22,24,34,0
105,1573.62,14,41,0
105,1576.33,17,37,0
105,1579.55,20,34,0
105,1581.92,22,34,0
105,1584.48,23,35,0
105,1587.39,24,34,0
106,1590.89,14,39,0
106,1592.4,17,36,0
106,1595.92,20,33,0
106,1597.66,22,37,0
106,1599.58,23,32,0
106,1603.41,24,35,0
107,1607.08,14,40,0
107,1609.76,17,37,0
107,1611.4,20,33,0
107,1615.17,22,35,0
107,1617.36,23,37,0
107,1619.45,24,38,0
108,1620.8,14,39,0
108,1623.89,17,39,0
108,1625.6,20,34,0
108,1629.31,22,37,0
108,1631.25,23,32,0
108,1634.54,24,33,0
109,1636.87,14,39,0
109,1640.32,17,36,0
109,1641.6,20,37,0
109,1644.37,22,35,0
109,1647.18,23,32,0
109,1650.51,24,33,0
110,1652.66,14,42,0
110,1654.2,17,36,0
110,1658.02,20,35,0
110,1659.35,22,36,0
110,1662.57,23,32,0
110,1666.46,24,33,0
111,1669.57,14,43,0
111,1672.26,17,38,0
111,1675.27,20,35,0
111,1678.37,22,37,0
111,1681.65,23,32,0
111,1684.98,24,34,0
112,1688.08,14,41,0
112,1691.18,17,37,0
112,1692.21,20,34,0
112,1695.78,22,37,0
112,1697.62,23,32,0
112,1700.86,24,34,0
113,1703.28,14,42,0
113,1705.1,17,39,0
113,1707.79,20,37,0
113,1711.2,22,35,0
113,1712.2,23,33,0
113,1714.74,24,36,0
114,1718.3,14,39,0
114,1720.83,17,38,0
114,1723.34,20,38,0
114,1724.54,22,35,0
114,1725.78,23,32,0
114,1728.16,24,33,0
115,1730.6,14,38,0
115,1734.58,17,36,0
115,1736.5,20,35,0
115,1739.03,22,34,0
115,1742.61,23,33,0
115,1745.81,24,34,0
116,1746.99,14,42,0
116,1748.15,17,41,0
116,1750.96,20,35,0
116,1753.27,22,33,0
116,1755.12,23,35,0
116,1758.04,24,34,0
117,1760.22,14,42,0
117,1763.92,17,37,0
117,1767.59,20,37,0
117,1769.67,22,38,0
117,1771.9,23,33,0
117,1775.27,24,34,0
118,1778.17,14,42,0
118,1779.77,17,38,0
118,1783.23,20,34,0
118,1785.63,22,37,0
118,1789.04,23,33,0
118,1791.78,24,35,0
119,1794.56,14,40,0
119,1797.17,17,38,0
119,1799.58,20,34,0
119,1802.72,22,34,0
119,1805.58,23,32,0
119,1809.11,24,37,0
120,1812.71,14,38,0
120,1815.53,17,37,0
120,1816.6,20,35,0
120,1818.89,22,40,0
120,1820.33,23,32,0
120,1824.07,24,36,0
121,1825.78,14,40,0
121,1827.94,17,37,0
121,1830.13,20,33,0
121,1831.37,22,36,0
121,1834.36,23,35,0
121,1838.17,24,34,0
122,1841.99,14,41,0
122,1843.07,17,36,0
122,1845.33,20,34,0
122,1848.5,22,33,0
122,1851.68,23,33,0
122,1853.54,24,35,0
123,1854.89,14,41,0
123,1857.45,17,37,0
123,1859.12,20,35,0
123,1860.49,22,37,0
123,1864.3,23,33,0
123,1867.1,24,36,0
124,1869.09,14,47,0
124,1871.76,17,37,0
124,1873.18,20,34,0
124,1876.28,22,33,0
124,1878.32,23,33,0
124,1880.9,24,41,0
125,1883.34,14,40,0
125,1884.83,17,38,0
125,1885.99,20,35,0
125,1887.56,22,33,0
125,1889.12,23,33,0
125,1891.34,24,35,0
126,1895.25,14,36,0
126,1898.37,17,37,0
126,1901.25,20,33,0
126,1902.47,22,34,0
126,1905.58,23,33,0
126,1909.54,24,35,0
127,1912.69,14,42,0
127,1916.41,17,36,0
127,1918.46,20,33,0
127,1921.32,22,36,0
127,1923.16,23,32,0
127,1925.5,24,36,0
128,1928.82,14,41,0
128,1932.15,17,36,0
128,1934.34,20,37,0
128,1935.51,22,35,0
128,1937.14,23,33,0
128,1939.85,24,34,0
129,1943.82,14,42,0
129,1946.41,17,38,0
129,1948.26,20,35,0
129,1949.29,22,37,0
129,1951.57,23,33,0
129,1954.21,24,38,0
130,1955.41,14,39,0
130,1959.35,17,36,0
130,1962.59,20,38,0
130,1964.58,22,36,0
130,1966.77,23,33,0
130,1969.03,24,35,0
131,1971.79,14,43,0
131,1974.42,17,35,0
131,1975.58,20,44,0
131,1978.39,22,35,0
131,1981.82,23,34,0
131,1983.79,24,37,0
132,1985.39,14,40,0
132,1988.12,17,37,0
132,1989.53,20,33,0
132,1991.29,22,35,0
132,1994.63,23,42,0
132,1998.14,24,35,0
133,2001.61,14,41,0
133,2003.36,17,40,0
133,2005.84,20,34,0
133,2009.63,22,40,0
133,2011.34,23,32,0
133,2013.13,24,34,0
134,2014.95,14,41,0
134,2017.85,17,37,0
134,2019.41,20,34,0
134,2022.28,22,32,0
134,2023.92,23,35,0
134,2026.26,24,37,0
135,2030.15,14,39,0
135,2033.53,17,37,0
135,2035.28,20,34,0
135,2038.24,22,36,0
135,2041.1,23,32,0
135,2044.11,24,33,0
136,2045.94,14,42,0
136,2049.65,17,40,0
136,2052.34,20,33,0
136,2054.74,22,35,0
136,2056.85,23,35,0
136,2058.8,24,36,0
137,2059.99,14,42,0
137,2063.45,17,39,0
137,2066.82,20,33,0
137,2069.77,22,34,0
137,2072.15,23,34,0
137,2073.5,24,36,0
138,2075.29,14,41,0
138,2078.46,17,42,0
138,2082.21,20,33,0
138,2085.98,22,33,0
138,2088.49,23,33,0
138,2090.86,24,33,0
139,2092.45,14,42,0
139,2093.71,17,36,0
139,2095.96,20,33,0
139,2099.73,22,34,0
139,2103.21,23,35,0
139,2106.93,24,33,0
140,2108.36,14,41,0
140,2111.48,17,37,0
140,2114.57,20,34,0
140,2117.44,22,35,0
140,2120.45,23,34,0
140,2121.5,24,36,0
141,2124.37,14,41,0
141,2126.57,17,41,0
141,2128.78,20,33,0
141,2130.54,22,36,0
141,2132.01,23,34,0
141,2135.31,24,34,0
142,2138.79,14,42,0
142,2141.35,17,42,0
142,2144.11,20,34,0
142,2146.69,22,35,0
142,2150.07,23,34,0
142,2152.9,24,35,0
143,2156.58,14,41,0
143,2159.77,17,40,0
143,2162.01,20,33,0
143,2165.39,22,35,0
143,2166.58,23,41,0
143,2170.08,24,35,0
144,2172.53,14,39,0
144,2173.94,17,38,0
144,2177.47,20,34,0
144,2179.47,22,32,0
144,2182.89,23,34,0
144,2184.13,24,33,0
145,2187.41,14,40,0
145,2191.24,17,39,0
145,2194.93,20,34,0
145,2197.81,22,33,0
145,2198.91,23,33,0
145,2202.45,24,43,0
146,2205.7,14,39,0
146,2209.07,17,37,0
146,2210.74,20,34,0
146,2212.87,22,32,0
146,2216.11,23,34,0
146,2217.13,24,38,0
147,2218.8,14,36,0
147,2222.25,17,38,0
147,2225.7,20,34,0
147,2229.4,22,32,0
147,2230.48,23,32,0
147,2233.73,24,34,0
148,2236.29,14,41,0
148,2239.77,17,39,0
148,2242.94,20,33,0
148,2245.06,22,34,0
148,2246.68,23,34,0
148,2249.66,24,34,0
149,2251.22,14,42,0
149,2253.55,17,35,0
149,2255.52,20,33,0
149,2257.24,22,34,0
149,2258.94,23,33,0
149,2261.91,24,33,0
150,2263,14,42,0
150,2265.14,17,40,0
150,2266.72,20,34,0
150,2268.05,22,33,0
150,2271.79,23,34,0
150,2275.62,24,32,0
151,2278.54,14,41,0
151,2279.71,17,39,0
151,2282.32,20,33,0
151,2284.92,22,35,0
151,2288.8,23,32,0
151,2291.73,24,34,0
152,2293.79,14,42,0
152,2297.08,17,37,0
152,2298.51,20,33,0
152,2301.4,22,35,0
152,2304.4,23,32,0
152,2307.35,24,34,0
153,2309.08,14,41,0
153,2311.74,17,37,0
153,2313.75,20,33,0
153,2315.02,22,34,0
153,2318.58,23,35,0
153,2319.93,24,32,0
154,2321.03,14,40,0
154,2323.27,17,39,0
154,2325.44,20,33,0
154,2327.67,22,33,0
154,2329.99,23,32,0
154,2333.66,24,33,0
155,2337.17,14,41,0
155,2340.26,17,39,0
155,2342.78,20,33,0
155,2346.33,22,33,0
155,2349.74,23,33,0
155,2353.29,24,33,0
156,2356.74,14,42,0
156,2358.03,17,39,0
156,2360.66,20,33,0
156,2362.56,22,35,0
156,2364.82,23,33,0
156,2367.49,24,34,0
157,2370.69,14,42,0
157,2372.05,17,37,0
157,2374.42,20,34,0
157,2375.82,22,33,0
157,2379.46,23,33,0
157,2381.51,24,34,0
158,2383.2,14,40,0
158,2385.8,17,39,0
158,2389.76,20,34,0
158,2393.54,22,33,0
158,2394.57,23,33,0
158,2396.3,24,34,0
159,2397.77,14,39,0
159,2401.53,17,37,0
159,2403.99,20,34,0
159,2406.37,22,34,0
159,2409.6,23,34,0
159,2411.74,24,31,0
160,2413.94,14,43,0
160,2417.21,17,36,0
160,2419.8,20,34,0
160,2423.38,22,34,0
160,2426.01,23,35,0
160,2427.03,24,32,0
161,2429.31,14,40,0
161,2432.52,17,37,0
161,2435.72,20,34,0
161,2438.72,22,35,0
161,2441.28,23,32,0
161,2442.54,24,34,0
162,2444.02,14,42,0
162,2446.3,17,38,0
162,2449.1,20,36,0
162,2452.09,22,34,0
162,2454.02,23,40,0
162,2457.96,24,33,0
163,2460.21,14,38,0
163,2462.22,17,37,0
163,2463.76,20,33,0
163,2466,22,34,0
163,2469.72,23,31,0
163,2471.09,24,33,0
164,2473.82,14,44,0
164,2476.75,17,37,0
164,2479.76,20,34,0
164,2483.59,22,33,0
164,2486.14,23,32,0
164,2489.09,24,33,0
165,2490.32,14,41,0
165,2491.66,17,35,0
165,2494.14,20,36,0
165,2497.58,22,35,0
165,2500.93,23,34,0
165,2502.41,24,33,0
166,2504.06,14,38,0
166,2507.14,17,39,0
166,2508.31,20,35,0
166,2511.31,22,33,0
166,2515.09,23,32,0
166,2517.39,24,33,0
167,2520.01,14,44,0
167,2522.09,17,36,0
167,2525.52,20,34,0
167,2527.71,22,32,0
167,2529.63,23,32,0
167,2531.62,24,35,0
168,2533.63,14,42,0
168,2535.65,17,37,0
168,2536.77,20,33,0
168,2539.26,22,35,0
168,2542.64,23,33,0
168,2545.01,24,35,0
169,2546.54,14,43,0
169,2547.64,17,37,0
169,2549.58,20,43,0
169,2550.72,22,33,0
169,2552.71,23,36,0
169,2555.83,24,32,0
170,2558.67,14,42,0
170,2560.85,17,38,0
170,2563.78,20,36,0
170,2565.48,22,35,0
170,2566.55,23,33,0
170,2569.84,24,35,0
171,2573.23,14,42,0
171,2575.54,17,40,0
171,2579.45,20,35,0
171,2582.97,22,34,0
171,2585.29,23,35,0
171,2587.08,24,33,0
172,2588.69,14,39,0
172,2592.49,17,36,0
172,2596.31,20,33,0
172,2599,22,32,0
172,2600.81,23,33,0
172,2601.93,24,32,0
173,2604.58,14,41,0
173,2608.2,17,36,0
173,2610.73,20,37,0
173,2613.43,22,35,0
173,2615.22,23,34,0
173,2617.76,24,33,0
174,2619.58,14,38,0
174,2621.45,17,37,0
174,2622.66,20,41,0
174,2624.77,22,33,0
174,2628.01,23,33,0
174,2629.94,24,32,0
175,2632.63,14,43,0
175,2633.68,17,35,0
175,2636.02,20,38,0
175,2637.98,22,32,0
175,2641.84,23,34,0
175,2644.3,24,34,0
176,2648.27,14,40,0
176,2651.15,17,40,0
176,2652.98,20,39,0
176,2654.79,22,36,0
176,2656.13,23,32,0
176,2657.86,24,34,0
177,2661.28,14,42,0
177,2663.92,17,37,0
177,2667.38,20,37,0
177,2669.79,22,34,0
177,2671.88,23,34,0
177,2674.6,24,33,0
178,2677.64,14,40,0
178,2680.09,17,37,0
178,2683.5,20,38,0
178,2687.29,22,33,0
178,2690.29,23,32,0
178,2693.39,24,34,0
179,2695.59,14,41,0
179,2697.39,17,37,0
179,2698.98,20,35,0
179,2702.23,22,35,0
179,2703.74,23,33,0
179,2704.81,24,33,0
180,2708.18,14,40,0
180,2710.12,17,40,0
180,2713.34,20,35,0
180,2716.46,22,33,0
180,2717.56,23,33,0
180,2720.62,24,37,0
181,2723.1,14,38,0
181,2726.87,17,37,0
181,2730.39,20,35,0
181,2732.17,22,33,0
181,2735.94,23,33,0
181,2738.05,24,36,0
182,2740.51,14,41,0
182,2742.95,17,37,0
182,2744.97,20,38,0
182,2747.81,22,33,0
182,2750.64,23,33,0
182,2752.56,24,37,0
183,2755.29,14,41,0
183,2757.73,17,39,0
183,2759.38,20,41,0
183,2761.54,22,35,0
