set,clock,dbm,rssi,attack
144,2135.13,14,36,0
144,2138.16,17,38,0
144,2140.14,20,31,0
144,2141.58,22,34,0
144,2144.39,23,33,0
144,2147.77,24,30,0
145,2151.27,14,34,0
145,2152.88,17,39,0
145,2155.59,20,32,0
145,2159.23,22,34,0
145,2161.79,23,34,0
145,2165.69,24,28,0
146,2168.31,14,37,0
146,2172.08,17,36,0
146,2175.78,20,36,0
146,2179.5,22,34,0
146,2183.17,23,34,0
146,2186.89,24,29,0
147,2190.12,14,37,0
147,2192.45,17,37,0
147,2195.17,20,33,0
147,2198.89,22,34,0
147,2202.44,23,34,0
147,2203.53,24,33,0
148,2207.52,14,41,0
148,2210.12,17,37,0
148,2213.67,20,34,0
148,2217.65,22,34,0
148,2220.73,23,32,0
148,2221.92,24,30,0
149,2223.37,14,40,0
149,2227.3,17,36,0
149,2229.17,20,31,0
149,2230.81,22,34,0
149,2233.18,23,31,0
149,2235.74,24,33,0
150,2237.78,14,40,0
150,2240.04,17,38,0
150,2243.01,20,32,0
150,2245.9,22,34,0
150,2247.65,23,34,0
150,2249.73,24,32,0
151,2251.91,14,42,0
151,2253.63,17,37,0
151,2255.26,20,33,0
151,2258.64,22,34,0
151,2259.89,23,36,0
151,2261.68,24,28,0
152,2264.54,14,41,0
152,2267.55,17,36,0
152,2271.43,20,35,0
152,2272.47,22,36,0
152,2275.82,23,35,0
152,2279.36,24,29,0
153,2281.53,14,41,0
153,2283.04,17,36,0
153,2286.46,20,33,0
153,2289.34,22,33,0
153,2290.4,23,35,0
153,2294.1,24,32,0
154,2296.97,14,40,0
154,2300.33,17,35,0
154,2304.04,20,33,0
154,2307.51,22,33,0
154,2308.61,23,35,0
154,2311.19,24,28,0
155,2314.98,14,43,0
155,2316.94,17,35,0
155,2319.59,20,35,0
155,2321.57,22,33,0
155,2322.58,23,35,0
155,2324.19,24,28,0
156,2326.53,14,40,0
156,2327.63,17,35,0
156,2331.35,20,31,0
156,2335.01,22,33,0
156,2338.7,23,44,0
156,2340.11,24,28,0
157,2342.72,14,42,0
157,2345.45,17,34,0
157,2348.3,20,32,0
157,2350.29,22,33,0
157,2353.61,23,35,0
157,2356.75,24,29,0
158,2357.9,14,42,0
158,2359.61,17,37,0
158,2363.05,20,34,0
158,2365.21,22,34,0
158,2367.19,23,36,0
158,2369.4,24,32,0
159,2371.04,14,42,0
159,2373.67,17,35,0
159,2376.93,20,31,0
159,2378.03,22,33,0
159,2380.6,23,32,0
159,2383.51,24,30,0
160,2385.32,14,38,0
160,2386.65,17,36,0
160,2390.62,20,32,0
160,2393.51,22,34,0
160,2395.24,23,31,0
160,2398.61,24,30,0
161,2401.54,14,42,0
161,2403.31,17,34,0
161,2406.86,20,32,0
161,2410.82,22,34,0
161,2414.73,23,34,0
161,2416.46,24,33,0
162,2419.37,14,42,0
162,2421.02,17,38,0
162,2424.97,20,31,0
162,2427.98,22,33,0
162,2429.41,23,34,0
162,2433.21,24,31,0
163,2436.9,14,41,0
163,2440.45,17,34,0
163,2444.35,20,31,0
163,2448.29,22,34,0
163,2450.12,23,34,0
163,2453.11,24,32,0
164,2456.11,14,37,0
164,2457.7,17,35,0
164,2459.46,20,34,0
164,2462.39,22,32,0
164,2464.26,23,34,0
164,2467.58,24,32,0
165,2469.69,14,41,0
165,2473.49,17,35,0
165,2475.14,20,33,0
165,2477.6,22,33,0
165,2480.82,23,35,0
165,2484.52,24,29,0
166,2486.97,14,39,0
166,2489.21,17,35,0
166,2490.49,20,33,0
166,2492.78,22,33,0
166,2496.58,23,33,0
166,2500.2,24,28,0
167,2502.49,14,42,0
167,2504.29,17,35,0
167,2506.06,20,31,0
167,2510,22,33,0
167,2513.12,23,31,0
167,2515.98,24,30,0
168,2518.11,14,38,0
168,2520.94,17,35,0
168,2524.26,20,32,0
168,2525.89,22,33,0
168,2527.96,23,32,0
168,2531.49,24,32,0
169,2533.84,14,40,0
169,2536.25,17,35,0
169,2538.99,20,32,0
169,2542.44,22,33,0
169,2543.53,23,33,0
169,2545.23,24,29,0
170,2546.44,14,37,0
170,2548.24,17,35,0
170,2549.72,20,32,0
170,2551.74,22,34,0
170,2555.43,23,35,0
170,2559.33,24,29,0
171,2561.96,14,41,0
171,2563.93,17,35,0
171,2567.91,20,32,0
171,2569.43,22,33,0
171,2571.97,23,35,0
171,2574.33,24,32,0
172,2575.69,14,42,0
172,2578.75,17,34,0
172,2580.25,20,31,0
172,2583.05,22,34,0
172,2585.68,23,33,0
172,2589.4,24,27,0
173,2592.18,14,40,0
173,2593.3,17,34,0
173,2597.07,20,32,0
173,2598.89,22,34,0
173,2601.57,23,34,0
173,2603.43,24,30,0
174,2605.9,14,40,0
174,2609.86,17,38,0
174,2611.73,20,33,0
174,2613.19,22,34,0
174,2614.25,23,32,0
174,2617.79,24,28,0
175,2620.52,14,38,0
175,2623.05,17,36,0
175,2626.08,20,33,0
175,2627.96,22,33,0
175,2631.92,23,30,0
175,2635.82,24,28,0
176,2637.27,14,41,0
176,2638.52,17,34,0
176,2639.54,20,32,0
176,2641.12,22,33,0
176,2642.82,23,33,0
176,2644.63,24,34,0
177,2647.98,14,39,0
177,2649.2,17,34,0
177,2651.71,20,33,0
177,2653.4,22,35,0
177,2655.34,23,32,0
177,2659.19,24,28,0
178,2662.25,14,39,0
178,2664.9,17,34,0
178,2666.1,20,32,0
178,2669.94,22,33,0
178,2673.02,23,30,0
178,2675.58,24,30,0
179,2677.82,14,39,0
179,2679.07,17,34,0
179,2681.11,20,32,0
179,2682.59,22,34,0
179,2686.16,23,32,0
179,2689.04,24,30,0
180,2691.16,14,39,0
180,2694.7,17,34,0
180,2698.06,20,32,0
180,2701.63,22,33,0
180,2703.32,23,30,0
180,2704.95,24,31,0
181,2706.15,14,37,0
181,2709.98,17,33,0
181,2712.21,20,32,0
181,2715.28,22,34,0
181,2718.38,23,30,0
181,2721.25,24,29,0
182,2724.9,14,37,0
182,2728.69,17,35,0
182,2729.79,20,31,0
182,2732.31,22,34,0
182,2734.34,23,31,0
182,2736.67,24,30,0
183,2739.54,14,39,0
183,2742.01,17,34,0
183,2744.03,20,32,0
183,2745.88,22,34,0
