set,clock,dbm,rssi,attack
157,2344.70,14,35,0
157,2347.63,17,34,0
157,2349.75,20,36,0
157,2353.18,22,31,0
157,2355.03,23,31,0
157,2358.44,24,27,0
158,2361.22,14,36,0
158,2363.46,17,33,0
158,2365.84,20,32,0
158,2368.86,22,33,0
158,2372.70,23,31,0
158,2373.82,24,30,0
159,2377.12,14,35,0
159,2378.88,17,35,0
159,2382.36,20,34,0
159,2383.51,22,35,0
159,2387.28,23,32,0
159,2389.96,24,30,0
160,2393.13,14,37,0
160,2394.84,17,36,0
160,2397.59,20,33,0
160,2400.78,22,36,0
160,2403.50,23,31,0
160,2407.47,24,30,0
161,2410.91,14,35,0
161,2413.35,17,35,0
161,2417.34,20,34,0
161,2420.48,22,36,0
161,2423.97,23,35,0
161,2427.47,24,28,0
162,2429.28,14,37,0
162,2433.09,17,33,0
162,2436.72,20,34,0
162,2438.92,22,35,0
162,2441.60,23,34,0
162,2444.73,24,27,0
163,2448.16,14,36,0
163,2450.41,17,33,0
163,2451.79,20,34,0
163,2455.29,22,33,0
163,2456.96,23,31,0
163,2459.66,24,27,0
164,2461.15,14,36,0
164,2463.87,17,33,0
164,2467.48,20,33,0
164,2469.05,22,30,0
164,2471.32,23,29,0
164,2473.92,24,27,0
165,2475.96,14,36,0
165,2478.24,17,33,0
165,2479.80,20,34,0
165,2483.38,22,33,0
165,2484.53,23,34,0
165,2487.53,24,30,0
166,2489.07,14,35,0
166,2491.65,17,35,0
166,2495.48,20,34,0
166,2497.79,22,32,0
166,2500.92,23,33,0
166,2504.90,24,27,0
167,2507.22,14,35,0
167,2510.05,17,34,0
167,2511.39,20,33,0
167,2514.88,22,34,0
167,2517.11,23,32,0
167,2518.44,24,30,0
168,2519.57,14,35,0
168,2522.16,17,33,0
168,2524.56,20,35,0
168,2526.62,22,32,0
168,2529.70,23,29,0
168,2532.22,24,30,0
169,2535.37,14,37,0
169,2537.45,17,33,0
169,2540.43,20,30,0
169,2541.44,22,31,0
169,2544.36,23,35,0
169,2546.36,24,30,0
170,2548.45,14,36,0
170,2549.76,17,33,0
170,2550.89,20,32,0
170,2552.55,22,34,0
170,2554.93,23,30,0
170,2558.73,24,31,0
171,2562.10,14,36,0
171,2564.39,17,33,0
171,2565.61,20,34,0
171,2569.48,22,31,0
171,2571.98,23,31,0
171,2575.56,24,29,0
172,2578.69,14,35,0
172,2580.13,17,35,0
172,2582.41,20,35,0
172,2586.15,22,35,0
172,2588.91,23,32,0
172,2590.62,24,30,0
173,2594.04,14,36,0
173,2596.67,17,35,0
173,2599.02,20,32,0
173,2600.61,22,33,0
173,2602.35,23,32,0
173,2603.92,24,29,0
174,2605.18,14,37,0
174,2608.44,17,33,0
174,2609.97,20,32,0
174,2611.61,22,34,0
174,2615.58,23,31,0
174,2618.08,24,27,0
175,2621.56,14,35,0
175,2623.86,17,35,0
175,2626.39,20,32,0
175,2629.99,22,35,0
175,2633.73,23,33,0
175,2636.28,24,28,0
176,2639.73,14,37,0
176,2642.71,17,35,0
176,2644.28,20,35,0
176,2648.17,22,34,0
176,2651.54,23,34,0
176,2653.10,24,27,0
177,2655.55,14,38,0
177,2659.55,17,32,0
177,2661.17,20,30,0
177,2663.84,22,33,0
177,2667.76,23,32,0
177,2669.01,24,33,0
178,2670.02,14,35,0
178,2671.65,17,35,0
178,2673.75,20,35,0
178,2675.50,22,35,0
178,2679.04,23,30,0
178,2682.13,24,27,0
179,2684.17,14,35,0
179,2686.56,17,33,0
179,2690.21,20,31,0
179,2692.88,22,32,0
179,2695.42,23,31,0
179,2699.19,24,31,0
180,2703.12,14,35,0
180,2706.75,17,33,0
180,2708.86,20,31,0
180,2710.87,22,42,0
180,2713.87,23,32,0
180,2715.40,24,29,0
181,2719.27,14,36,0
181,2722.79,17,36,0
181,2725.10,20,35,0
181,2726.76,22,33,0
181,2728.62,23,31,0
181,2730.49,24,28,0
182,2734.16,14,35,0
182,2737.22,17,35,0
182,2740.39,20,34,0
182,2743.41,22,34,0
182,2745.33,23,33,0
182,2748.87,24,31,0
183,2752.28,14,41,0
183,2754.46,17,36,0
